wkt_geom	id
Point (-0.45007222814082121 51.92253822696199705)	1
Point (-0.44872832662229756 51.92211554259358053)	
Point (-0.44750057840991792 51.92113940478422762)	
Point (-0.44703944675259155 51.92044335775793229)	
Point (-0.44570702954652114 51.91969080737320752)	
Point (-0.44441278242271209 51.9192387302425189)	
Point (-0.44304375048970751 51.91884564618868581)	
Point (-0.44147854508481887 51.91921490807965966)	
Point (-0.44087898965417133 51.91971693984449132)	
Point (-0.44066631954692231 51.92025409376903866)	
Point (-0.44173766684067067 51.92083825383122075)	
Point (-0.4428911212186506 51.92115350464315071)	
Point (-0.44268922344392703 51.92208078379862712)	
Point (-0.44113481013104383 51.92213520103583591)	
Point (-0.43974459240980346 51.92165180320851903)	
Point (-0.4388330948266625 51.92135473058966966)	
Point (-0.43801547287614284 51.92114889207818607)	
Point (-0.43712199467673285 51.92103203579237203)	
Point (-0.43705944105853112 51.92143618383981618)	
Point (-0.43688242235865182 51.92164382183318594)	
Point (-0.43651090546571258 51.92186387504997924)	
Point (-0.4360207552363225 51.92200735457709726)	
Point (-0.43557388333498559 51.92230139950954992)	
Point (-0.43662802063609102 51.92338035114941874)	
Point (-0.43639752649145958 51.9230323072794917)	
Point (-0.43657668248849868 51.92415962800483697)	
Point (-0.43640045184382109 51.92504224000185786)	
Point (-0.43671336453639426 51.92581135617827215)	
Point (-0.4365665892713258 51.9265443674383107)	
Point (-0.43659112117700455 51.92723465655053161)	
Point (-0.43707802836590182 51.9292810141626191)	
Point (-0.43798559341990251 51.93109296526647967)	
Point (-0.43869920674780183 51.93290233586643012)	
Point (-0.43902481349610406 51.93470655621419496)	
Point (-0.44237198711983361 51.93895066571934649)	
Point (-0.43932963299949496 51.93711046629316286)	
Point (-0.44546434942775476 51.9393515263072274)	
Point (-0.4495394451117703 51.93940527448828703)	
Point (-0.45441137887326216 51.9388693815713367)	
Point (-0.45793719908064129 51.93795568064285817)	
Point (-0.46071133695438776 51.93631208843621749)	
Point (-0.46352215006092962 51.93358897224143789)	
Point (-0.46496222166146611 51.93120789965657025)	
Point (-0.46676971498227332 51.9294315620152318)	
Point (-0.46818088938268843 51.92789002572739321)	
Point (-0.467562103429781 51.92896190904782827)	
Point (-0.467562103429781 51.92896190904782827)	
